City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Lebu,CL,63.72,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
6,Faya,SA,57.31,few clouds,18.3851,42.4509,املاك خالد الشعشوع
7,Cape Town,ZA,67.12,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,Busselton,AU,66.04,overcast clouds,-33.65,115.3333,Observatory Guest House
15,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
19,Mataura,NZ,57.47,moderate rain,-46.1927,168.8643,Ellie's Villa
20,Hobart,AU,59.05,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,New Norfolk,AU,58.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
28,Nyimba,ZM,68.31,clear sky,-14.5566,30.8149,Dali Dali Lodge
38,Plettenberg Bay,ZA,69.55,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
40,Olpad,IN,69.4,clear sky,21.3333,72.75,IDTCATERING
50,Nizwa,OM,66.79,clear sky,22.9333,57.5333,Orient Apartments
53,Laguna,US,61.47,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
58,Bredasdorp,ZA,69.12,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
66,Bluff,NZ,57.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
73,Airai,TL,60.66,moderate rain,-8.9266,125.4092,
74,San Ramon,US,62.76,clear sky,37.7799,-121.978,San Ramon Marriott
78,Half Moon Bay,US,64.45,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
82,Hermanus,ZA,66.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Xucheng,CN,54.3,moderate rain,20.35,110.1288,Haixing Hotel
84,Pirgos,GR,54.63,overcast clouds,35.1167,25.7178,Elpida Village
89,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
90,Burnie,AU,61.92,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
103,Porto Santo,PT,66.31,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
106,Rio Gallegos,AR,64.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
110,Kaitangata,NZ,54.36,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
113,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,The Commodore
115,Victoria,HK,60.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
116,Karpathos,GR,55.36,overcast clouds,35.507,27.2132,Alex
119,Kaduna,NG,66.24,scattered clouds,10.5222,7.4383,HAMDALA HOTEL
120,Lompoc,US,66.52,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
129,Codrington,AU,59.04,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
135,Santa Barbara,US,59.72,clear sky,34.7333,-120.0343,Upper Ballard Campground
142,Bambanglipuro,ID,60.6,overcast clouds,-7.95,110.2833,Puri Brata
149,Tuatapere,NZ,57.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
150,Minab,IR,63.9,clear sky,27.1467,57.0801,Bam campground
162,Marsaxlokk,MT,56.08,clear sky,35.8419,14.5431,Water's Edge
166,Marsa Matruh,EG,53.8,scattered clouds,31.3525,27.2453,Beau Site
168,Vila Franca Do Campo,PT,58.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
169,Sungaipenuh,ID,64.72,light rain,-2.0833,101.3833,penginapan citra alam
171,Lahan,NP,57.85,clear sky,26.7296,86.4951,Bhattarai Residence
172,Lagoa,PT,58.26,clear sky,39.05,-27.9833,Casa Das Faias
176,Goregaon,IN,64.45,clear sky,18.1667,73.3,Vichare Farms and Agritourism Center
179,Gunupur,IN,64.92,clear sky,19.0833,83.8167,Sree Satya Residency
184,Dayong,CN,53.28,moderate rain,25.0209,118.2898,Haiyue Express Hotel
191,Remuna,IN,65.59,clear sky,21.5261,86.8722,Maharana cottage
199,Fortuna,US,58.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
204,Ponta Delgada,PT,58.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
208,Luang Prabang,LA,62.62,clear sky,19.8856,102.1347,The Apsara
209,La Maddalena,IT,53.65,clear sky,41.2142,9.4083,Hotel Il Gabbiano
212,Launceston,AU,60.44,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
213,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hostel Del Puerto
215,Bayir,TR,52.32,overcast clouds,37.2687,28.2167,Hotel Babadag
220,Tahoua,NE,67.24,clear sky,14.8888,5.2692,Bungalows Guesthouse
222,Yulara,AU,66.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
228,Victor Harbor,AU,63.0,overcast clouds,-35.5667,138.6167,McCracken Country Club
230,Coihaique,CL,66.15,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
231,Kidal,ML,66.09,clear sky,18.4411,1.4078,
239,Umm Kaddadah,SD,69.3,few clouds,13.6017,26.6876,
240,Naze,JP,56.32,overcast clouds,28.3667,129.4833,Shishime Hotel
252,Arlit,NE,64.27,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
256,Sakakah,SA,53.17,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
259,Castro,BR,66.94,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
260,Muros,ES,55.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
271,Broken Hill,AU,58.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
278,Ormara,PK,66.81,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
284,Risalpur,PK,50.58,overcast clouds,34.0619,71.9917,Iqbal Block
286,Manono,CD,69.01,overcast clouds,-7.3,27.4167,Hotel hewa bora
289,Bardiyah,LY,53.47,overcast clouds,31.7561,25.0865,بورتو بردية
292,Elizabeth City,US,54.0,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
305,Lodja,CD,69.24,light rain,-3.4833,23.4333,
310,Dumabato,PH,64.36,scattered clouds,16.3167,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
312,Pacific Grove,US,64.51,clear sky,36.6177,-121.9166,Lovers Point Inn
327,Canaries,ES,62.56,clear sky,28.0,-15.5,Villa del Monte
329,Narasapur,IN,67.39,few clouds,16.45,81.6667,TCI Xps
336,Bara,NG,69.21,clear sky,10.3744,10.7288,
340,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
342,Asyut,EG,55.58,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
353,Valencia,ES,54.66,clear sky,39.3333,-0.8333,Masia El Pino
356,Port Macquarie,AU,68.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
369,Eureka,US,58.12,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
371,Barcelos,PT,54.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
379,Liverpool,GB,50.68,overcast clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
380,Camacha,PT,63.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
384,Constitucion,CL,64.42,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
385,Montepuez,MZ,68.31,scattered clouds,-13.1256,38.9997,PembaAparthotel
396,Saldanha,ZA,66.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
398,Cristalina,BR,65.95,light rain,-16.7686,-47.6136,HOTEL TOPAZIO
399,Gat,IL,59.4,overcast clouds,31.61,34.7642,OlusHome
401,Guerrero Negro,MX,64.27,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
406,Flinders,AU,67.21,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
414,Dagumba-An,PH,67.68,overcast clouds,8.1531,124.5908,Barangay Besigan Cagayan De Oro
426,Awjilah,LY,53.17,broken clouds,29.1081,21.2869,
433,Mae Ramat,TH,59.99,clear sky,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
434,Atocha,BO,55.92,scattered clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
446,Esperance,AU,57.04,clear sky,-33.8667,121.9,Hospitality Esperance
457,Casablanca,MA,60.33,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
460,Calbuco,CL,69.01,overcast clouds,-41.768,-73.1273,Hotel Colonial
464,Port Lincoln,AU,63.91,few clouds,-34.7333,135.8667,Port Lincoln Hotel
465,Wilmington,US,61.95,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
477,Lata,PT,51.93,overcast clouds,40.1629,-8.3327,Casa Maquia
481,Dubbo,AU,69.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
483,Locri,IT,55.94,clear sky,38.2414,16.2623,Grand Hotel President
484,Fraserburgh,GB,50.54,overcast clouds,57.6874,-2.0184,Fraserburgh Caravan Park Ltd
486,Asosa,ET,69.17,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
