City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Beruwala,LK,2022-01-30 18:20:28,6.4788,79.9828,79.07,80,25,2.86
1,Albany,US,2022-01-30 18:20:26,42.6001,-73.9662,21.67,37,42,4.0
2,Ushuaia,AR,2022-01-30 18:20:28,-54.8,-68.3,46.06,76,75,23.02
3,Avarua,CK,2022-01-30 18:20:29,-21.2078,-159.775,78.85,89,75,9.22
4,Rikitea,PF,2022-01-30 18:20:29,-23.1203,-134.9692,76.17,61,59,4.29
5,Vao,NC,2022-01-30 18:20:29,-22.6667,167.4833,79.18,87,99,10.36
6,Truro,GB,2022-01-30 18:16:12,50.2653,-5.0544,49.55,93,75,13.8
7,Busselton,AU,2022-01-30 18:20:30,-33.65,115.3333,64.09,78,3,18.39
8,Viedma,AR,2022-01-30 18:20:26,-40.8135,-62.9967,61.09,48,65,17.56
9,Olafsvik,IS,2022-01-30 18:20:30,64.8945,-23.7142,28.67,59,100,38.23
10,Najran,SA,2022-01-30 18:20:30,17.4924,44.1277,65.05,25,9,3.91
11,Nanortalik,GL,2022-01-30 18:20:31,60.1432,-45.2371,18.1,67,100,10.74
12,Portland,US,2022-01-30 18:16:37,45.5234,-122.6762,47.25,75,75,5.99
13,Castro,BR,2022-01-30 18:20:31,-24.7911,-50.0119,64.58,98,100,5.5
14,Jamestown,US,2022-01-30 18:16:01,42.097,-79.2353,20.52,51,75,3.0
15,Puttur,IN,2022-01-30 18:20:32,12.7667,75.2167,80.71,84,42,1.05
16,Faya,SA,2022-01-30 18:20:32,18.3851,42.4509,55.51,80,10,5.5
17,Shache,CN,2022-01-30 18:20:32,38.4167,77.2406,25.72,43,48,1.61
18,Meulaboh,ID,2022-01-30 18:20:33,4.1363,96.1285,78.15,81,84,3.29
19,Ilulissat,GL,2022-01-30 18:20:33,69.2167,-51.1,8.62,66,75,17.27
20,Puerto Ayora,EC,2022-01-30 18:16:31,-0.7393,-90.3518,84.16,71,100,8.81
21,Ancud,CL,2022-01-30 18:16:44,-41.8697,-73.8203,63.43,56,39,11.43
22,Airai,TL,2022-01-30 18:20:33,-8.9266,125.4092,61.36,94,96,3.67
23,Leningradskiy,RU,2022-01-30 18:20:34,69.3833,178.4167,-8.9,93,100,0.51
